,Data,Residuo,Quantidade,Tecnologia,Unnamed: 4,Unnamed: 5,ano,mes
139,2018-12-10,180111(*),0.3,Aterro,,,2018,12
140,2018-12-10,180401(*),0.0,Aterro,,,2018,12
141,2018-12-10,180111(*),0.24,Aterro,,,2018,12
142,2018-12-10,180401(*),0.0,Aterro,,,2018,12
143,2018-12-10,180111(*),0.26,Aterro,,,2018,12
144,2018-12-10,180401(*),0.0,Aterro,,,2018,12
145,2018-12-10,180111(*),0.24,Aterro,,,2018,12
146,2018-12-11,180401(*),0.0,Aterro,,,2018,12
147,2018-12-11,180111(*),0.15,Aterro,,,2018,12
148,2018-12-11,180401(*),0.0,Aterro,,,2018,12
149,2018-12-11,180111(*),0.18,Aterro,,,2018,12
150,2018-12-12,180401(*),0.0,Aterro,,,2018,12
151,2018-12-12,180111(*),0.23,Aterro,,,2018,12
152,2018-12-12,180401(*),0.0,Aterro,,,2018,12
153,2018-12-12,180111(*),0.19,Aterro,,,2018,12
154,2018-12-12,180401(*),0.0,Aterro,,,2018,12
155,2018-12-12,180111(*),0.2,Aterro,,,2018,12
156,2018-12-12,180401(*),0.0,Aterro,,,2018,12
157,2018-12-12,180111(*),0.19,Aterro,,,2018,12
158,2018-12-14,180401(*),0.0,Aterro,,,2018,12
159,2018-12-14,180111(*),0.11,Aterro,,,2018,12
160,2018-12-17,180401(*),0.0,Aterro,,,2018,12
161,2018-12-17,180111(*),0.11,Aterro,,,2018,12
162,2018-12-17,180401(*),0.0,Aterro,,,2018,12
163,2018-12-17,180111(*),0.08,Aterro,,,2018,12
164,2018-12-17,180401(*),0.0,Aterro,,,2018,12
165,2018-12-17,180111(*),0.11,Aterro,,,2018,12
166,2018-12-17,180401(*),0.0,Aterro,,,2018,12
167,2018-12-17,180111(*),0.12,Aterro,,,2018,12
168,2018-12-18,180401(*),0.0,Aterro,,,2018,12
169,2018-12-18,180111(*),0.13,Aterro,,,2018,12
170,2019-01-02,180401(*),0.0,Aterro,,,2019,1
171,2019-01-02,180111(*),0.1,Aterro,,,2019,1
172,2019-01-03,180401(*),0.0,Aterro,,,2019,1
173,2019-01-03,180111(*),0.12,Aterro,,,2019,1
174,2019-01-03,180401(*),0.0,Aterro,,,2019,1
175,2019-01-03,180111(*),0.15,Aterro,,,2019,1
176,2019-01-03,180401(*),0.0,Aterro,,,2019,1
177,2019-01-03,180111(*),0.15,Aterro,,,2019,1
178,2019-01-07,180401(*),0.0,Aterro,,,2019,1
179,2019-01-07,180111(*),0.18,Aterro,,,2019,1
180,2019-01-08,180205(*),0.02,Incineração,,,2019,1
181,2019-01-08,180201(*),0.01,Incineração,,,2019,1
182,2019-01-08,180401(*),0.0,Aterro,,,2019,1
183,2019-01-08,180111(*),0.16,Aterro,,,2019,1
184,2019-01-09,180401(*),0.0,Aterro,,,2019,1
185,2019-01-09,180111(*),0.13,Aterro,,,2019,1
186,2019-01-09,180401(*),0.0,Aterro,,,2019,1
187,2019-01-09,180111(*),0.21,Aterro,,,2019,1
188,2019-01-09,180401(*),0.0,Aterro,,,2019,1
189,2019-01-09,180111(*),0.19,Aterro,,,2019,1
190,2019-01-10,180401(*),0.0,Aterro,,,2019,1
191,2019-01-10,180111(*),0.14,Aterro,,,2019,1
192,2019-01-14,180401(*),0.0,Aterro,,,2019,1
193,2019-01-14,180111(*),0.17,Aterro,,,2019,1
194,2019-01-15,180401(*),0.0,Aterro,,,2019,1
195,2019-01-15,180111(*),0.22,Aterro,,,2019,1
196,2019-01-16,180401(*),0.0,Aterro,,,2019,1
197,2019-01-16,180111(*),0.14,Aterro,,,2019,1
198,2019-01-17,180401(*),0.0,Aterro,,,2019,1
199,2019-01-17,180111(*),0.26,Aterro,,,2019,1
200,2019-01-17,180401(*),0.0,Aterro,,,2019,1
201,2019-01-17,180111(*),0.15,Aterro,,,2019,1
202,2019-01-17,180401(*),0.0,Aterro,,,2019,1
203,2019-01-17,180111(*),0.23,Aterro,,,2019,1
204,2019-01-21,180401(*),0.0,Aterro,,,2019,1
205,2019-01-21,180111(*),0.2,Aterro,,,2019,1
206,2019-01-22,180401(*),0.0,Aterro,,,2019,1
207,2019-01-22,180111(*),0.22,Aterro,,,2019,1
208,2019-01-22,180401(*),0.0,Aterro,,,2019,1
209,2019-01-22,180111(*),0.22,Aterro,,,2019,1
210,2019-01-23,180401(*),0.0,Aterro,,,2019,1
211,2019-01-23,180111(*),0.22,Aterro,,,2019,1
212,2019-01-24,180401(*),0.0,Aterro,,,2019,1
213,2019-01-24,180111(*),0.17,Aterro,,,2019,1
214,2019-01-28,180401(*),0.0,Aterro,,,2019,1
215,2019-01-28,180111(*),0.22,Aterro,,,2019,1
216,2019-01-28,180401(*),0.0,Aterro,,,2019,1
217,2019-01-28,180111(*),0.21,Aterro,,,2019,1
218,2019-01-29,180401(*),0.0,Aterro,,,2019,1
219,2019-01-29,180111(*),0.28,Aterro,,,2019,1
220,2019-01-30,180401(*),0.0,Aterro,,,2019,1
221,2019-01-30,180111(*),0.22,Aterro,,,2019,1
222,2019-01-31,180401(*),0.0,Aterro,,,2019,1
223,2019-01-31,180111(*),0.22,Aterro,,,2019,1
224,2019-01-31,180401(*),0.0,Aterro,,,2019,1
225,2019-01-31,180111(*),0.24,Aterro,,,2019,1
226,2019-01-31,180401(*),0.0,Aterro,,,2019,1
227,2019-01-31,180111(*),0.16,Aterro,,,2019,1
228,2019-02-04,180401(*),0.0,Aterro,,,2019,2
229,2019-02-04,180111(*),0.16,Aterro,,,2019,2
230,2019-02-05,180401(*),0.0,Aterro,,,2019,2
231,2019-02-05,180111(*),0.25,Aterro,,,2019,2
232,2019-02-06,180401(*),0.0,Aterro,,,2019,2
233,2019-02-06,180111(*),0.18,Aterro,,,2019,2
234,2019-02-07,180401(*),0.0,Aterro,,,2019,2
235,2019-02-07,180111(*),0.24,Aterro,,,2019,2
236,2019-02-07,180401(*),0.0,Aterro,,,2019,2
237,2019-02-07,180111(*),0.23,Aterro,,,2019,2
238,2019-02-08,180401(*),0.0,Aterro,,,2019,2
239,2019-02-08,180111(*),0.21,Aterro,,,2019,2
240,2019-02-11,180401(*),0.0,Aterro,,,2019,2
241,2019-02-11,180111(*),0.22,Aterro,,,2019,2
242,2019-02-12,180401(*),0.0,Aterro,,,2019,2
243,2019-02-12,180111(*),0.18,Aterro,,,2019,2
244,2019-02-13,180401(*),0.0,Aterro,,,2019,2
245,2019-02-13,180111(*),0.27,Aterro,,,2019,2
246,2019-02-14,180401(*),0.0,Aterro,,,2019,2
247,2019-02-14,180111(*),0.24,Aterro,,,2019,2
248,2019-02-14,180401(*),0.0,Aterro,,,2019,2
249,2019-02-14,180111(*),0.26,Aterro,,,2019,2
250,2019-02-14,180401(*),0.0,Aterro,,,2019,2
251,2019-02-14,180111(*),0.18,Aterro,,,2019,2
252,2019-02-18,180401(*),0.0,Aterro,,,2019,2
253,2019-02-18,180111(*),0.19,Aterro,,,2019,2
254,2019-02-19,180401(*),0.0,Aterro,,,2019,2
255,2019-02-19,180111(*),0.26,Aterro,,,2019,2
256,2019-02-20,180401(*),0.0,Aterro,,,2019,2
257,2019-02-20,180111(*),0.26,Aterro,,,2019,2
258,2019-02-20,180401(*),0.0,Aterro,,,2019,2
259,2019-02-20,180111(*),0.21,Aterro,,,2019,2
260,2019-02-20,180401(*),0.0,Aterro,,,2019,2
261,2019-02-20,180111(*),0.2,Aterro,,,2019,2
262,2019-02-21,180401(*),0.0,Aterro,,,2019,2
263,2019-02-21,180111(*),0.16,Aterro,,,2019,2
264,2019-02-25,180401(*),0.0,Aterro,,,2019,2
265,2019-02-25,180111(*),0.21,Aterro,,,2019,2
266,2019-02-26,180401(*),0.0,Aterro,,,2019,2
267,2019-02-26,180111(*),0.23,Aterro,,,2019,2
268,2019-02-26,180401(*),0.0,Aterro,,,2019,2
269,2019-02-26,180111(*),0.22,Aterro,,,2019,2
270,2019-02-27,180401(*),0.0,Aterro,,,2019,2
271,2019-02-27,180111(*),0.23,Aterro,,,2019,2
272,2019-02-27,180401(*),0.0,Aterro,,,2019,2
273,2019-02-27,180111(*),0.19,Aterro,,,2019,2
274,2019-02-27,180401(*),0.0,Aterro,,,2019,2
275,2019-02-27,180111(*),0.23,Aterro,,,2019,2
276,2019-02-28,180401(*),0.0,Aterro,,,2019,2
277,2019-02-28,180111(*),0.2,Aterro,,,2019,2
278,2019-03-06,180401(*),0.0,Aterro,,,2019,3
