Data;Residuo;Quantidade;Tecnologia;;
2019-06-17;180401(*);0.00;Aterro;;
2019-06-17;180111(*);0.28;Aterro;;
2019-06-18;180205(*);0.05;Incineração;;
2019-06-18;180401(*);0.00;Aterro;;
2019-06-18;180111(*);0.23;Aterro;;
2019-06-19;180401(*);0.00;Aterro;;
2019-06-19;180111(*);0.32;Aterro;;
2019-06-21;180401(*);0.00;Aterro;;
2019-06-21;180111(*);0.21;Aterro;;
2019-06-21;180401(*);0.00;Aterro;;
2019-06-21;180111(*);0.23;Aterro;;
2019-06-24;180401(*);0.00;Aterro;;
2019-06-24;180111(*);0.24;Aterro;;
2019-06-25;180401(*);0.00;Aterro;;
2019-06-25;180111(*);0.20;Aterro;;
2019-06-26;180401(*);0.00;Aterro;;
2019-06-26;180111(*);0.29;Aterro;;
2019-06-27;180401(*);0.00;Aterro;;
2019-06-27;180111(*);0.20;Aterro;;
2019-06-28;180401(*);0.00;Aterro;;
2019-06-28;180111(*);0.22;Aterro;;
2019-06-28;180401(*);0.00;Aterro;;
2019-06-28;180111(*);0.21;Aterro;;
2019-07-01;180401(*);0.00;Aterro;;
2019-07-01;180111(*);0.24;Aterro;;
2019-07-02;180401(*);0.00;Aterro;;
2019-07-02;180111(*);0.25;Aterro;;
2019-07-03;180401(*);0.00;Aterro;;
2019-07-03;180111(*);0.24;Aterro;;
2019-07-04;180401(*);0.00;Aterro;;
2019-07-04;180111(*);0.28;Aterro;;
2019-07-04;180401(*);0.00;Aterro;;
2019-07-04;180111(*);0.23;Aterro;;
2019-07-05;180401(*);0.00;Aterro;;
2019-07-05;180111(*);0.18;Aterro;;
2019-07-08;180401(*);0.00;Aterro;;
2019-07-08;180111(*);0.24;Aterro;;
2019-07-09;180205(*);0.03;Incineração;;
2019-07-09;180401(*);0.00;Aterro;;
2019-07-09;180111(*);0.20;Aterro;;
2019-07-10;180401(*);0.00;Aterro;;
2019-07-10;180111(*);0.20;Aterro;;
2019-07-11;180401(*);0.00;Aterro;;
2019-07-11;180111(*);0.21;Aterro;;
2019-07-12;180401(*);0.00;Aterro;;
2019-07-12;180111(*);0.28;Aterro;;
2019-07-12;180401(*);0.00;Aterro;;
2019-07-12;180111(*);0.23;Aterro;;
2019-07-15;180401(*);0.00;Aterro;;
2019-07-15;180111(*);0.28;Aterro;;
2019-07-16;180401(*);0.00;Aterro;;
2019-07-16;180111(*);0.27;Aterro;;
